"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.23562732051645,0.37892063905003,-5.89998825643613,3.63527446380975e-09
"TRTUnseeded",-1.21427594683758,0.513331124610241,-2.36548280168974,0.0180065796051366
"RevBIMod",-0.0384732203335294,0.389868354026484,-0.0986825935887989,0.921390289701862
"RevBILow",-3.46152059787025,2.89856921667106,-1.1942169874576,0.232393099752369
"scale(elevation)",0.959010687177457,0.286326692977562,3.34935830538374,0.000809989736675841
"spei",-0.977918953241713,0.254055392263969,-3.84923517870321,0.000118487205855181
"(Intercept)",-5.88249295314842,1.36187297159202,-4.3194138336352,1.56444176060547e-05
"TRTUnseeded",-0.971233824757963,1.3793973506303,-0.70410010887303,0.481370432333563
"RevBIMod",0.762789711685521,1.04471623152879,0.730140576613125,0.465304260878579
"RevBILow",1.00472717108908,1.47007632650126,0.683452384734541,0.494321028143552
"scale(elevation)",-0.928406508651135,0.545565494695547,-1.70173245499925,0.0888055334946105
"spei",-1.58325709828113,0.746460842921684,-2.12101828688586,0.0339202635473728
"(Intercept)",-3.99495594411279,0.914643220154525,-4.36777516749959,1.25518605936617e-05
"TRTUnseeded",-4.38391119791939,3.71291235781699,-1.18072035519226,0.237713832506481
"RevBIMod",0.858647055274037,0.947346032947292,0.906371088716861,0.364739470057936
"RevBILow",0.51329877860877,6.64985848005441,0.0771894289402336,0.938472851040477
"scale(elevation)",-0.247289905551715,0.769367380673928,-0.32141979470861,0.747892284304926
"spei",1.75852157898806,0.662937789422947,2.65261930613243,0.00798698960762111
"(Intercept)",-4.0450565523943,0.905487817427879,-4.46726778045966,7.92249362017816e-06
"TRTUnseeded",-1.36633991423345,1.73149121468794,-0.789111664352108,0.43004674507617
"RevBIMod",0.0950086843198668,1.1638453178304,0.081633429171652,0.934938217365441
"RevBILow",-2.45533789336189,8.2377393779722,-0.298059671555948,0.765657620792874
"scale(elevation)",0.345072718622138,0.820949630611022,0.420333606052426,0.674241763097092
"spei",0.797037258376865,0.631904279005406,1.26132593947832,0.20719143923082
"(Intercept)",-4.6137224287884,1.35904026419209,-3.39483865956769,0.000686690542200875
"TRTUnseeded",-4.67566331232567,7.36117947573855,-0.635178550901526,0.525311970683208
"RevBIMod",-1.00732043508042,2.0266609638024,-0.497034508026687,0.619164717011036
"RevBILow",0.405330958725573,9.81747905458708,0.0412866639665697,0.967067364618962
"scale(elevation)",-0.99343813064652,1.67364521814528,-0.593577491738328,0.552794739154405
"spei",-0.531435633099001,1.06043158150201,-0.50115032630985,0.616265330504884
"(Intercept)",-3.42885459258261,0.656659079931398,-5.2216663065724,1.77320282192497e-07
"TRTUnseeded",-1.24866903729365,0.983309885842561,-1.26986319905013,0.20413336393152
"RevBIMod",0.0241311643975037,0.739542264602859,0.0326298651916295,0.973969753526852
"RevBILow",-2.30149503600997,3.83111415234656,-0.600737786578429,0.548014647079747
"scale(elevation)",1.05707291306113,0.525962956300173,2.00978586115073,0.0444538578619818
"spei",1.31186013756816,0.451093461092459,2.9081781287432,0.00363541197707004
"(Intercept)",-7.84024310706031,4.50871119003319,-1.73891002918788,0.0820505898337938
"TRTUnseeded",0.189343642270149,4.15411698116798,0.0455797569323416,0.96364520402856
"RevBIMod",0.918797887602745,4.23304302198425,0.217053756087756,0.828166452086475
"RevBILow",-2.66966251001795,22.7668945820301,-0.11726072259873,0.906653449075241
"scale(elevation)",0.170740050997719,2.09744808458876,0.0814037077972276,0.93512090050343
"spei",-0.618740588093125,2.36108074292802,-0.262058207855193,0.793276566359269
