"","variable","TRT","1997","1998","2002","2008","2013","2016","2019"
"1","prop_brin","Seeded",0.64,0.916666666666667,NA,0.92,0.96,0.916666666666667,0.96
"2","prop_brin","Unseeded",0.25,0.173913043478261,0,0.642857142857143,0.333333333333333,0.5,0.416666666666667
"3","prop_brte","Seeded",0.32,0.166666666666667,NA,0.08,0.04,0.208333333333333,0.32
"4","prop_brte","Unseeded",0.0416666666666667,0,0,0.0714285714285714,0.111111111111111,0.166666666666667,0.625
"5","prop_lomu","Seeded",1,1,NA,0,0,0,0
"6","prop_lomu","Unseeded",0.333333333333333,0.347826086956522,0,0,0,0,0
"7","prop_lope","Seeded",0.56,0.0416666666666667,NA,0,0,0,0
"8","prop_lope","Unseeded",0.0833333333333333,0,0,0,0,0,0
"9","prop_brca","Seeded",0.84,0.875,NA,0,0,0,0.04
"10","prop_brca","Unseeded",0.125,0.173913043478261,0,0,0,0,0.0416666666666667
"11","prop_scsc","Seeded",0,0,NA,0.36,0,0,0.04
"12","prop_scsc","Unseeded",0,0,0,0.214285714285714,0,0,0.166666666666667
"13","prop_eltr","Seeded",0.96,0.958333333333333,NA,0.44,0,0,0
"14","prop_eltr","Unseeded",0.208333333333333,0.217391304347826,0.1,0.142857142857143,0,0,0
"15","prop_bocu","Seeded",0.24,0.5,NA,0.72,0.16,0,0.4
"16","prop_bocu","Unseeded",0.0416666666666667,0.130434782608696,0,0.142857142857143,0,0,0.0416666666666667
"17","nplot","Seeded",25,24,NA,25,25,24,25
"18","nplot","Unseeded",24,23,10,14,18,12,24
